content-provide,content-pull,publish-content,publish-service,service-provide,service-pull,unpin,upload-content,upload-service,wait-peers-content,wait-peers-service
829.04,1.09,16.98,7.54,21.30,0.77,0.03,0.14,0.01,0.01,0.01
777.98,1.08,7.70,11.97,10.89,0.75,0.01,0.14,0.02,0.01,0.01
737.17,1.06,9.24,12.14,11.74,0.73,0.00,0.15,0.05,0.01,0.01
708.82,1.05,9.73,17.41,10.42,0.74,0.00,0.14,0.02,0.01,0.01
773.83,1.06,8.34,8.66,9.98,0.75,0.01,0.14,0.02,0.01,0.01
739.41,1.08,7.87,7.84,11.68,0.71,0.01,0.18,0.05,0.01,0.01
712.19,1.11,17.88,8.79,19.77,0.73,0.00,0.16,0.03,0.01,0.01
733.29,1.12,21.82,8.93,11.12,0.73,0.01,0.16,0.02,0.01,0.01
726.55,1.07,7.81,8.75,18.05,0.76,0.01,0.16,0.02,0.01,0.00
741.20,1.12,22.48,8.63,11.20,0.76,0.01,0.10,0.04,0.01,0.01
851.26,1.12,22.45,9.68,11.19,0.75,0.00,0.22,0.05,0.01,0.01
723.16,1.08,21.69,8.71,11.63,0.76,0.01,0.14,0.07,0.01,0.01
713.54,1.20,21.39,9.56,10.90,0.79,0.01,0.14,0.03,0.00,0.01
735.01,1.06,22.53,17.76,27.62,0.74,0.01,0.21,0.05,0.01,0.01
732.59,1.05,21.74,8.78,26.21,0.74,0.01,0.16,0.03,0.01,0.01
682.64,1.21,23.02,9.82,26.26,0.82,0.01,0.13,0.02,0.00,0.00
687.44,1.17,22.87,17.72,10.97,0.86,0.01,0.14,0.02,0.01,0.00
735.16,1.07,21.90,7.62,10.91,0.75,0.01,0.19,0.04,0.01,0.01
749.30,1.10,22.10,7.61,15.85,0.74,0.00,0.19,0.02,0.01,0.01
716.78,1.07,23.65,8.04,8.84,0.77,0.00,0.22,0.03,0.01,0.01
